"cat_id","categoria","subcat_id_1","subcategoria_1","subcat_id_2","subcategoria_2","subcat_id_3","subcategoria_3","subcat_id_4","subcategoria_4","subcat_id_5","subcategoria_5","subcat_id_6","subcategoria_6"
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM189045","Alarmas para Motos",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM73299","Alforjas",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM445725","Bocinas",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437263","Caballetes","MLM440310","Elevadores",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437263","Caballetes","MLM437550","Otros",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437263","Caballetes","MLM440311","Universales",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437507","Cajas y Anclajes","MLM437511","Cajas Laterales",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437507","Cajas y Anclajes","MLM165695","Cajas para Cuatrimotos",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437507","Cajas y Anclajes","MLM437510","Cajas para Delivery",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437507","Cajas y Anclajes","MLM92154","Cajas Porta Cascos",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437507","Cajas y Anclajes","MLM437509","Portaequipajes",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437507","Cajas y Anclajes","MLM437508","Otros",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM5557","Cascos",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM437552","Cubre Amortiguadores",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM429404","Cubre Rayos",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM431106","Defensas",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45897","Emblemas",NA,NA,NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM455763","Fundas","MLM430633","Para Asientos",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM455763","Fundas","MLM189905","Para Cuatrimotos",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM455763","Fundas","MLM92152","Para Motos",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM455763","Fundas","MLM455764","Otros",NA,NA,NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45864","Indumentaria y Calzado","MLM455749","Accesorios","MLM62384","Goggles",NA,NA,NA,NA
"MLM1747","Accesorios para Vehículos","MLM92153","Acc. para Motos y Cuatrimotos","MLM45864","Indumentaria y Calzado","MLM455749","Accesorios","MLM73301","Gorras",NA,NA,NA,NA
