"id","categorias"
"MLM1747","Accesorios para Vehículos"
"MLM189530","Agro"
"MLM1403","Alimentos y Bebidas"
"MLM1071","Animales y Mascotas"
"MLM1367","Antigüedades y Colecciones"
"MLM1368","Arte, Papelería y Mercería"
"MLM1743","Autos, Motos y Otros"
"MLM1384","Bebés"
"MLM1246","Belleza y Cuidado Personal"
"MLM1039","Cámaras y Accesorios"
"MLM1051","Celulares y Telefonía"
"MLM1648","Computación"
"MLM1144","Consolas y Videojuegos"
"MLM1500","Construcción"
"MLM1276","Deportes y Fitness"
"MLM1575","Electrodomésticos"
"MLM1000","Electrónica, Audio y Video"
"MLM186863","Herramientas"
"MLM1574","Hogar, Muebles y Jardín"
"MLM1499","Industrias y Oficinas"
"MLM1459","Inmuebles"
"MLM1182","Instrumentos Musicales"
"MLM3937","Joyas y Relojes"
"MLM1132","Juegos y Juguetes"
"MLM3025","Libros, Revistas y Comics"
"MLM1168","Música, Películas y Series"
"MLM44011","Recuerdos, Cotillón y Fiestas"
"MLM1430","Ropa, Bolsas y Calzado"
"MLM187772","Salud y Equipamiento Médico"
"MLM1540","Servicios"
"MLM1953","Otras Categorías"
"MLM92153","Acc. para Motos y Cuatrimotos"
"MLM5320","Accesorios de Auto y Camioneta"
"MLM422167","Accesorios Náuticos"
"MLM438041","Accesorios para Camiones"
"MLM22621","Audio para Vehículos"
"MLM172372","Cuidado Automotriz"
"MLM437817","GNV"
"MLM92149","Herramientas para Vehículos"
"MLM180901","Llantas"
"MLM456111","Lubricantes y Fluidos"
"MLM455863","Motos"
"MLM8531","Navegadores GPS"
"MLM179724","Performance"
"MLM1748","Refacciones Autos y Camionetas"
"MLM419936","Refacciones de Línea Pesada"
"MLM92474","Refacciones para Motos"
"MLM456046","Repuestos Náuticos"
"MLM180902","Rines"
"MLM2239","Seguridad Vehicular"
"MLM377674","Service Programado"
"MLM455216","Tags para el Pago de Peajes"
"MLM179617","Tuning"
"MLM2232","Otros"
"MLM442346","Animales"
"MLM442344","Generadores de Energía"
"MLM454448","Infraestructura Rural"
"MLM442343","Insumos Agrícolas"
"MLM193836","Insumos Ganaderos"
"MLM193837","Máquinas y Herramientas"
"MLM442351","Repuestos de Maquinaria Pesada"
"MLM190895","Otros"
"MLM194325","Alimentos Preparados"
"MLM178700","Bebidas"
"MLM455292","Congelados"
"MLM1423","Despensa"
"MLM194324","Frescos"
"MLM455505","Kéfir"
"MLM1417","Otros"
"MLM1100","Aves"
"MLM189310","Conejos"
"MLM1117","Equinos"
"MLM1081","Gatos"
"MLM429307","Insectos"
"MLM1091","Peces"
"MLM1072","Perros"
"MLM1111","Reptiles y Anfibios"
"MLM1105","Roedores"
"MLM1126","Otros"
"MLM1372","Antigüedades"
"MLM393901","Banderas"
"MLM2820","Coleccionables de Deportes"
"MLM35869","Esculturas"
"MLM1861","Filatelia"
"MLM1805","Militaria y Afines"
"MLM1806","Monedas y Billetes"
"MLM1834","Posters"
"MLM1885","Otros"
"MLM1945","Arte y Manualidades"
"MLM381266","Espejos Venecitas"
"MLM5166","Mercería"
"MLM2136","Papelería"
"MLM1371","Otros"
"MLM1745","Autos de Colección"
"MLM1744","Autos y Camionetas"
"MLM58446","Camiones"
"MLM103755","Colectivos y Autobuses"
"MLM1763","Motos"
"MLM1785","Náutica"
"MLM41706","Vehículos Pesados"
"MLM1907","Otros Vehículos"
"MLM423151","Andaderas y Correpasillos"
"MLM5702","Artículos de Bebés para Baño"
"MLM429651","Artículos de Maternidad"
"MLM421311","Chupones y Mordederas"
"MLM39965","Comida para Bebés"
"MLM40393","Corrales para Bebés"
